Name,Category,Total,Remaining,"Min. QTY",Location
" Black &amp; white 88a","black ink",2,1,0,Lucknow
" Black &amp; white printer 12 A","black ink",8,3,1,Lucknow
" Color printer","black ink",3,3,1,Lucknow
" Color printer","Color ink",3,3,1,Lucknow
,,,,,
